worker_id,site_id,first_name,last_name,role,department,employment_type,start_date
66,1,Lori,Miller,Processing Plant Operator,Maintenance,Contractor,2024-08-14
67,1,Alexandra,Torres,Underground Miner,Mining Operations,Contractor,2020-05-11
68,1,Jonathan,Anderson,Underground Miner,Maintenance,Full-time,2019-09-12
69,1,Lisa,Gregory,Underground Miner,Engineering,Full-time,2019-03-25
70,1,David,Payne,Processing Plant Operator,Maintenance,Full-time,2018-05-23
71,1,Joseph,Morgan,Shift Supervisor,Maintenance,Contractor,2023-07-30
72,1,Robert,Taylor,Geologist,Drill & Blast,Full-time,2020-07-16
73,1,Cindy,Ward,Shift Supervisor,Engineering,Full-time,2019-06-20
74,1,Gregory,Johnson,Surface Operator,Mining Operations,Contractor,2025-12-13
75,1,Joseph,Cox,Electrical Engineer,Safety & Environment,Full-time,2024-02-23
76,1,Kathryn,Ramos,Underground Miner,Logistics,Contractor,2025-06-05
77,1,Tina,Benson,Surface Operator,Mining Operations,Full-time,2017-01-20
78,1,Thomas,Cook,Electrical Engineer,Engineering,FIFO,2023-11-24
79,1,David,Rodriguez,Haul Truck Operator,Maintenance,Full-time,2022-05-11
80,1,Amanda,Arnold,Shift Supervisor,Maintenance,Full-time,2016-10-10
81,1,Kayla,Cross,Maintenance Technician,Safety & Environment,Full-time,2017-10-10
82,1,Amber,Williams,Surface Operator,Safety & Environment,FIFO,2021-07-23
83,1,Austin,Frye,Processing Plant Operator,Mining Operations,Full-time,2023-05-17
84,1,Daniel,Woods,Processing Plant Operator,Engineering,Full-time,2019-09-20
85,1,Michael,Boyer,Surface Operator,Engineering,FIFO,2016-08-19
86,1,Patrick,Browning,Drill & Blast Technician,Safety & Environment,Full-time,2023-10-22
87,1,Maria,Dennis,Haul Truck Operator,Engineering,Full-time,2026-02-18
88,1,Douglas,Carter,Underground Miner,Maintenance,Full-time,2022-07-06
89,1,Michael,Greene,Safety Officer,Processing,FIFO,2018-08-11
90,1,Rachel,Hicks,Shift Supervisor,Processing,Full-time,2017-11-04
91,1,Savannah,Cobb,Processing Plant Operator,Logistics,Contractor,2019-02-27
92,1,Crystal,Gray,Drill & Blast Technician,Maintenance,Full-time,2023-11-12
93,1,Joseph,Gonzalez,Underground Miner,Drill & Blast,Contractor,2025-04-13
94,1,Sarah,Brown,Underground Miner,Logistics,Full-time,2023-01-29
95,1,Christopher,Hodges,Underground Miner,Drill & Blast,Full-time,2017-09-20
96,1,Timothy,Long,Processing Plant Operator,Maintenance,Full-time,2019-04-27
97,1,Michael,Chambers,Processing Plant Operator,Mining Operations,FIFO,2025-03-02
98,1,Steven,Nguyen,Surface Operator,Drill & Blast,Full-time,2019-04-26
99,1,Angelica,Chavez,Haul Truck Operator,Safety & Environment,Full-time,2021-02-01
100,1,James,Smith,Geologist,Maintenance,Contractor,2017-03-04
101,1,David,Harding,Underground Miner,Drill & Blast,Full-time,2020-12-21
102,1,Cynthia,Smith,Geologist,Drill & Blast,Contractor,2023-10-02
103,1,Donald,Cook,Maintenance Technician,Maintenance,Contractor,2023-09-25
104,1,Denise,Phillips,Electrical Engineer,Maintenance,Full-time,2020-10-24
105,1,Emily,Reeves,Drill & Blast Technician,Logistics,Contractor,2020-11-05
106,1,Brenda,Beard,Shift Supervisor,Processing,FIFO,2017-04-20
107,1,Vanessa,White,Surface Operator,Mining Operations,Full-time,2017-07-18
108,1,Amanda,Berry,Geologist,Mining Operations,Full-time,2022-11-28
109,1,Jennifer,Oneill,Haul Truck Operator,Drill & Blast,Full-time,2018-08-10
110,1,Mark,Malone,Electrical Engineer,Mining Operations,FIFO,2025-07-12
111,1,John,Cox,Electrical Engineer,Processing,Full-time,2018-03-09
112,1,Brady,Nguyen,Processing Plant Operator,Logistics,Full-time,2017-03-05
113,1,Shane,White,Processing Plant Operator,Mining Operations,Contractor,2021-09-05
114,1,Kristen,Erickson,Processing Plant Operator,Processing,FIFO,2017-06-20
115,1,Steven,Ross,Surface Operator,Maintenance,Full-time,2024-05-27
116,1,Jennifer,Sanford,Surface Operator,Logistics,Contractor,2023-07-20
117,1,Joseph,Shepherd,Maintenance Technician,Processing,Contractor,2024-03-15
118,1,Richard,Jordan,Electrical Engineer,Maintenance,Contractor,2023-03-30
119,1,Nicole,Burns,Maintenance Technician,Drill & Blast,Full-time,2018-09-06
120,1,Michelle,Harrell,Underground Miner,Mining Operations,Contractor,2024-01-27
121,1,Daniel,Whitney,Maintenance Technician,Mining Operations,Full-time,2019-01-13
122,1,Deborah,Warren,Drill & Blast Technician,Logistics,FIFO,2021-06-06
123,1,David,Jones,Drill & Blast Technician,Logistics,Full-time,2019-11-10
124,1,Alexandra,Cummings,Safety Officer,Drill & Blast,Full-time,2022-05-05
125,1,James,Baker,Surface Operator,Logistics,FIFO,2019-06-17
126,1,Joshua,Vance,Processing Plant Operator,Mining Operations,FIFO,2017-06-27
127,1,Lindsey,Boyle,Geologist,Drill & Blast,Full-time,2022-09-07
128,1,Toni,Stewart,Drill & Blast Technician,Mining Operations,Full-time,2022-09-29
129,1,Bradley,Bradley,Underground Miner,Processing,Full-time,2021-06-22
130,1,Candace,Mccarthy,Haul Truck Operator,Logistics,Full-time,2019-10-03
131,1,Judith,Montgomery,Processing Plant Operator,Engineering,Full-time,2020-01-11
132,1,Gabrielle,Schultz,Geologist,Logistics,Full-time,2024-02-21
133,1,Bradley,Hall,Haul Truck Operator,Engineering,Full-time,2021-07-30
134,1,Karen,Brown,Drill & Blast Technician,Safety & Environment,Full-time,2019-01-07
135,1,Edward,Fletcher,Electrical Engineer,Engineering,FIFO,2019-02-21
136,1,Diana,Washington,Haul Truck Operator,Processing,Full-time,2019-03-18
137,1,Pamela,Gallegos,Surface Operator,Safety & Environment,FIFO,2024-02-06
138,1,David,Stewart,Shift Supervisor,Maintenance,Full-time,2018-10-23
139,1,Juan,Murphy,Shift Supervisor,Processing,Full-time,2018-04-21
140,1,George,Keller,Haul Truck Operator,Maintenance,Full-time,2025-12-02
141,1,Zachary,Baker,Haul Truck Operator,Safety & Environment,Full-time,2023-04-29
142,1,Laura,Mcknight,Surface Operator,Engineering,Full-time,2024-05-15
143,1,Steven,Medina,Processing Plant Operator,Safety & Environment,Contractor,2019-05-21
144,1,Michele,Mason,Processing Plant Operator,Processing,FIFO,2019-01-08
145,1,Joseph,Herring,Surface Operator,Processing,Full-time,2023-11-30
146,1,James,Leach,Maintenance Technician,Mining Operations,Full-time,2023-07-11
147,1,Anthony,Garcia,Safety Officer,Processing,Contractor,2025-05-18
148,1,Jason,Little,Electrical Engineer,Safety & Environment,Contractor,2024-12-25
149,1,Joseph,Baxter,Processing Plant Operator,Mining Operations,Full-time,2020-06-22
150,1,Christina,Marshall,Geologist,Maintenance,Full-time,2021-12-14
151,1,Kevin,Taylor,Safety Officer,Mining Operations,Contractor,2017-10-07
152,1,Jane,Mills,Processing Plant Operator,Logistics,Contractor,2024-08-17
153,1,Anthony,Cuevas,Haul Truck Operator,Processing,Full-time,2017-07-18
154,1,John,Little,Electrical Engineer,Drill & Blast,Full-time,2023-06-14
155,1,Michele,Flores,Surface Operator,Logistics,FIFO,2020-06-30
156,1,Timothy,Brown,Processing Plant Operator,Processing,Contractor,2024-08-07
157,1,Justin,Brown,Electrical Engineer,Safety & Environment,Contractor,2021-11-10
158,1,Jorge,Hale,Processing Plant Operator,Maintenance,Full-time,2018-07-31
159,1,Angela,Wells,Safety Officer,Logistics,Contractor,2024-03-25
160,1,Edward,Taylor,Drill & Blast Technician,Drill & Blast,Contractor,2017-06-29
161,1,Michael,Wagner,Safety Officer,Drill & Blast,FIFO,2026-05-05
162,1,Rachael,Harper,Maintenance Technician,Processing,Full-time,2023-12-29
163,1,Lynn,Sanders,Geologist,Drill & Blast,Contractor,2016-12-24
164,1,Jonathan,Brown,Shift Supervisor,Safety & Environment,Full-time,2021-09-02
165,1,Abigail,Taylor,Haul Truck Operator,Drill & Blast,Full-time,2025-05-15
166,1,Jordan,Nelson,Drill & Blast Technician,Logistics,Full-time,2017-02-15
167,1,Annette,Burns,Processing Plant Operator,Logistics,Contractor,2021-05-29
168,1,Cameron,Pace,Electrical Engineer,Mining Operations,FIFO,2023-12-16
169,1,Heidi,James,Haul Truck Operator,Logistics,Full-time,2016-06-28
170,1,Donald,Rodgers,Haul Truck Operator,Maintenance,Full-time,2025-08-11
171,1,Robert,Mullins,Haul Truck Operator,Safety & Environment,Contractor,2017-10-26
172,1,Tiffany,Williams,Surface Operator,Safety & Environment,Full-time,2020-02-07
173,1,Linda,Rich,Geologist,Maintenance,Contractor,2024-02-12
174,1,Joe,Banks,Safety Officer,Safety & Environment,Full-time,2025-09-03
175,1,Megan,Rogers,Drill & Blast Technician,Logistics,Contractor,2022-02-14
176,1,Raven,Cruz,Surface Operator,Engineering,Full-time,2024-01-09
177,1,Angela,Brown,Drill & Blast Technician,Engineering,FIFO,2020-05-27
178,1,Susan,Holder,Processing Plant Operator,Safety & Environment,Full-time,2019-09-16
179,1,Brian,Robinson,Haul Truck Operator,Engineering,Full-time,2017-08-25
180,1,Mary,Keller,Drill & Blast Technician,Engineering,Full-time,2019-12-18
181,1,Rhonda,Hinton,Processing Plant Operator,Drill & Blast,Contractor,2023-08-31
182,1,John,Smith,Shift Supervisor,Drill & Blast,FIFO,2020-04-27
183,1,Andrew,Gamble,Processing Plant Operator,Safety & Environment,FIFO,2021-02-12
184,1,Jason,Pollard,Processing Plant Operator,Safety & Environment,FIFO,2016-08-09
185,1,Adam,Davies,Shift Supervisor,Safety & Environment,Full-time,2024-08-24
186,1,Anthony,Garcia,Haul Truck Operator,Engineering,Contractor,2026-04-30
187,1,Lisa,Bruce,Processing Plant Operator,Safety & Environment,Contractor,2020-09-15
188,1,Glenn,Houston,Maintenance Technician,Safety & Environment,Full-time,2019-02-04
189,1,Jill,Anderson,Maintenance Technician,Maintenance,Full-time,2023-10-06
190,1,Katelyn,Glover,Electrical Engineer,Drill & Blast,Full-time,2021-10-10
191,1,John,Simpson,Drill & Blast Technician,Maintenance,Full-time,2024-05-25
192,1,Emily,Kelly,Drill & Blast Technician,Logistics,Full-time,2016-09-23
193,1,Ashley,Adams,Safety Officer,Safety & Environment,Full-time,2026-05-06
194,1,Alice,Glenn,Shift Supervisor,Safety & Environment,Full-time,2021-12-26
195,1,Crystal,Clark,Safety Officer,Safety & Environment,FIFO,2020-12-01
196,1,Caleb,Anderson,Geologist,Logistics,Full-time,2017-01-13
197,1,Michelle,Waller,Geologist,Safety & Environment,Full-time,2021-08-30
198,1,Lisa,Moore,Electrical Engineer,Processing,Contractor,2020-06-08
199,1,Brenda,Weaver,Safety Officer,Drill & Blast,Contractor,2023-01-13
200,1,Kimberly,Brown,Processing Plant Operator,Engineering,Contractor,2018-09-16
201,1,Nichole,Gonzales,Haul Truck Operator,Safety & Environment,Full-time,2017-04-10
202,1,Curtis,Wilson,Safety Officer,Safety & Environment,Full-time,2018-08-31
203,1,Joseph,Jenkins,Electrical Engineer,Logistics,Contractor,2018-10-21
204,1,Nathan,Morse,Safety Officer,Logistics,Full-time,2022-04-18
205,1,Nicole,Peters,Shift Supervisor,Maintenance,FIFO,2025-10-29
206,1,David,Castillo,Processing Plant Operator,Mining Operations,FIFO,2023-08-29
207,1,Matthew,Martin,Geologist,Drill & Blast,Contractor,2018-03-07
208,1,Jillian,Walters,Surface Operator,Logistics,Full-time,2017-06-19
209,1,Daniel,Mays,Shift Supervisor,Maintenance,Full-time,2016-07-18
210,1,John,Williams,Safety Officer,Processing,Full-time,2020-12-15
211,1,George,Schultz,Electrical Engineer,Processing,Contractor,2022-04-05
212,1,George,Lynn,Safety Officer,Processing,Contractor,2025-01-30
213,1,Brandy,Wright,Safety Officer,Processing,FIFO,2021-02-11
214,1,Erin,Fowler,Shift Supervisor,Mining Operations,Contractor,2025-12-07
215,1,Alyssa,Contreras,Underground Miner,Processing,Full-time,2019-07-25
216,1,Nicole,Howell,Surface Operator,Engineering,FIFO,2019-12-13
217,1,Philip,Jones,Underground Miner,Engineering,Full-time,2022-05-09
218,1,Steven,Weaver,Haul Truck Operator,Maintenance,FIFO,2020-08-08
219,1,Adam,Snyder,Geologist,Maintenance,Full-time,2018-01-30
220,1,Brian,Ross,Shift Supervisor,Logistics,Full-time,2017-08-24
221,1,Christian,Ross,Haul Truck Operator,Safety & Environment,Contractor,2019-12-06
222,1,Donna,Lee,Electrical Engineer,Maintenance,Contractor,2025-06-28
223,1,Nathan,Reyes,Surface Operator,Engineering,FIFO,2018-12-17
224,1,Jimmy,Randall,Maintenance Technician,Mining Operations,Contractor,2025-06-10
225,1,Holly,Montgomery,Maintenance Technician,Drill & Blast,Contractor,2021-11-26
226,1,Mary,Thompson,Safety Officer,Safety & Environment,FIFO,2021-10-18
227,1,Dillon,Garza,Haul Truck Operator,Mining Operations,Contractor,2022-01-01
228,1,Blake,Hardin,Haul Truck Operator,Mining Operations,Contractor,2024-08-16
229,1,Jason,Barrett,Maintenance Technician,Engineering,Contractor,2025-01-21
230,1,Mark,Allen,Surface Operator,Engineering,FIFO,2018-01-29
231,1,Brenda,Novak,Underground Miner,Processing,Contractor,2023-08-23
232,1,Jessica,Cook,Electrical Engineer,Mining Operations,Contractor,2017-10-08
233,1,Cassandra,Smith,Electrical Engineer,Mining Operations,FIFO,2021-07-24
234,1,Joseph,Edwards,Shift Supervisor,Mining Operations,Full-time,2024-01-13
235,1,Jennifer,Lloyd,Electrical Engineer,Logistics,FIFO,2017-06-18
236,1,Heather,Owens,Shift Supervisor,Logistics,Full-time,2018-03-11
237,1,Michael,Wells,Drill & Blast Technician,Logistics,Contractor,2023-06-26
238,1,James,Pacheco,Maintenance Technician,Drill & Blast,FIFO,2018-04-24
239,1,Robert,Hansen,Processing Plant Operator,Engineering,Full-time,2025-06-12
240,1,Savannah,Mullen,Safety Officer,Engineering,Contractor,2023-08-23
241,1,James,Matthews,Maintenance Technician,Processing,FIFO,2025-11-06
242,1,Samuel,Alexander,Surface Operator,Processing,FIFO,2021-07-10
243,1,Leslie,Stephenson,Haul Truck Operator,Engineering,Full-time,2025-12-18
244,2,Dennis,Jones,Safety Officer,Processing,Full-time,2017-06-27
245,2,Ricky,Atkins,Electrical Engineer,Maintenance,Full-time,2019-09-26
246,2,John,Hernandez,Electrical Engineer,Engineering,Full-time,2020-12-05
247,2,Donna,Meyer,Maintenance Technician,Drill & Blast,Contractor,2019-10-04
248,2,Ashley,Cox,Maintenance Technician,Drill & Blast,Full-time,2025-05-28
249,2,Sharon,Wilkins,Haul Truck Operator,Mining Operations,Full-time,2016-07-09
250,2,Kyle,Buchanan,Safety Officer,Safety & Environment,Contractor,2021-11-09
251,2,Kara,Monroe,Haul Truck Operator,Logistics,Full-time,2018-06-08
252,2,Austin,Smith,Shift Supervisor,Safety & Environment,Contractor,2022-03-23
253,2,William,Michael,Surface Operator,Processing,Full-time,2023-08-16
254,2,Jeffrey,Stephens,Haul Truck Operator,Processing,Contractor,2020-05-18
255,2,Nicole,Lambert,Electrical Engineer,Safety & Environment,Contractor,2018-02-21
256,2,Kimberly,Brandt,Electrical Engineer,Safety & Environment,FIFO,2025-09-21
257,2,Julia,Adams,Processing Plant Operator,Processing,Full-time,2021-07-13
258,2,Chloe,Gonzalez,Shift Supervisor,Processing,Full-time,2017-09-13
259,2,Jonathan,Peck,Haul Truck Operator,Mining Operations,Contractor,2024-01-21
260,2,Chelsea,Bauer,Electrical Engineer,Mining Operations,Contractor,2018-05-17
261,2,Jennifer,Jones,Drill & Blast Technician,Maintenance,Full-time,2019-10-25
262,2,Lonnie,Morales,Shift Supervisor,Processing,Contractor,2022-04-28
263,2,Nicole,Grant,Processing Plant Operator,Drill & Blast,Full-time,2024-10-30
264,2,Kimberly,Garcia,Surface Operator,Engineering,Full-time,2017-10-17
265,2,Johnny,Rojas,Haul Truck Operator,Processing,Full-time,2026-02-28
266,2,Anna,Hancock,Underground Miner,Logistics,Contractor,2023-08-24
267,2,Brian,Edwards,Maintenance Technician,Mining Operations,FIFO,2020-07-28
268,2,Dana,Lee,Processing Plant Operator,Processing,Contractor,2023-04-19
269,2,Amanda,Thompson,Drill & Blast Technician,Logistics,FIFO,2020-10-10
270,2,Timothy,Martinez,Shift Supervisor,Mining Operations,FIFO,2020-10-23
271,2,Brian,Mendoza,Geologist,Processing,Full-time,2017-04-23
272,2,Justin,Stone,Shift Supervisor,Processing,Full-time,2025-08-30
273,2,Michelle,Jones,Underground Miner,Processing,FIFO,2022-06-25
274,2,Rachel,Callahan,Shift Supervisor,Mining Operations,FIFO,2020-12-17
275,2,Kayla,James,Safety Officer,Safety & Environment,Full-time,2019-06-15
276,2,Karina,Wilkerson,Underground Miner,Maintenance,Full-time,2021-01-23
277,2,Brenda,Bryant,Geologist,Processing,Full-time,2022-10-23
278,2,Catherine,Fuller,Haul Truck Operator,Mining Operations,Contractor,2016-11-03
279,2,Jennifer,Frye,Safety Officer,Drill & Blast,Contractor,2016-12-22
280,2,Rebecca,Contreras,Geologist,Maintenance,Contractor,2026-02-13
281,2,Deanna,Conley,Safety Officer,Safety & Environment,FIFO,2020-11-01
282,2,Glenn,Williams,Maintenance Technician,Engineering,Contractor,2022-03-20
283,2,Amanda,Fleming,Safety Officer,Processing,Contractor,2019-09-07
284,2,Timothy,Colon,Underground Miner,Drill & Blast,FIFO,2023-09-22
285,2,Aaron,Page,Surface Operator,Engineering,Full-time,2023-06-17
286,2,Angela,Tran,Haul Truck Operator,Processing,Contractor,2025-01-01
287,2,Jeremy,Deleon,Drill & Blast Technician,Maintenance,Full-time,2025-06-08
288,2,Jacob,Bridges,Surface Operator,Maintenance,Full-time,2022-05-16
289,2,Theresa,Gay,Shift Supervisor,Logistics,Contractor,2016-12-19
290,2,Pamela,Delgado,Maintenance Technician,Mining Operations,Full-time,2016-11-22
291,2,Andrew,Alvarado,Maintenance Technician,Logistics,FIFO,2024-04-04
292,2,James,Cain,Surface Operator,Logistics,Full-time,2016-08-10
293,2,Alexis,Leonard,Maintenance Technician,Engineering,Contractor,2019-07-07
294,2,Tammy,Turner,Geologist,Logistics,FIFO,2020-09-10
295,2,Martin,Velez,Haul Truck Operator,Safety & Environment,Full-time,2020-01-26
296,2,Amy,Simmons,Haul Truck Operator,Logistics,Full-time,2023-08-14
297,2,Eric,Marquez,Maintenance Technician,Engineering,Full-time,2017-04-20
298,2,Laura,Wright,Underground Miner,Maintenance,Contractor,2018-03-29
299,2,Monica,Robinson,Geologist,Logistics,FIFO,2020-09-18
300,2,Michelle,Lewis,Maintenance Technician,Safety & Environment,Full-time,2019-05-17
301,2,Samuel,Walker,Maintenance Technician,Logistics,Full-time,2024-02-07
302,2,Mark,Williams,Maintenance Technician,Drill & Blast,Contractor,2024-08-23
303,2,Richard,Harrison,Shift Supervisor,Mining Operations,Contractor,2023-08-10
304,2,Scott,Meyer,Safety Officer,Logistics,Full-time,2019-12-25
305,2,Lindsay,Holloway,Maintenance Technician,Mining Operations,Full-time,2025-05-25
306,2,Michael,Kelly,Geologist,Drill & Blast,FIFO,2021-03-07
307,2,Robert,Gonzales,Maintenance Technician,Drill & Blast,Full-time,2020-12-20
308,2,Robert,Norton,Drill & Blast Technician,Safety & Environment,Contractor,2023-03-22
309,2,Todd,Burton,Shift Supervisor,Processing,Full-time,2020-12-25
310,2,Patricia,Morrison,Geologist,Safety & Environment,Contractor,2019-02-15
311,2,Kathleen,Holt,Shift Supervisor,Mining Operations,Full-time,2024-08-13
312,2,Jennifer,Smith,Safety Officer,Processing,Full-time,2022-11-09
313,2,Alexis,Moore,Surface Operator,Engineering,Full-time,2025-11-07
314,2,Pamela,Bennett,Safety Officer,Logistics,Full-time,2019-02-17
315,2,Aaron,Martin,Safety Officer,Engineering,Contractor,2026-03-09
316,2,Aaron,Molina,Underground Miner,Safety & Environment,Full-time,2020-05-08
317,2,David,Evans,Maintenance Technician,Processing,Full-time,2018-04-19
318,2,Katherine,Parker,Safety Officer,Engineering,Contractor,2021-11-18
319,2,Olivia,Scott,Underground Miner,Logistics,FIFO,2018-10-30
320,2,Patricia,Cole,Shift Supervisor,Safety & Environment,Full-time,2021-05-12
321,2,Lori,Johnson,Processing Plant Operator,Processing,Contractor,2016-10-29
322,2,Jordan,Everett,Shift Supervisor,Logistics,Full-time,2025-10-23
323,2,Robert,Reid,Underground Miner,Maintenance,Full-time,2024-02-29
324,2,Margaret,Lopez,Drill & Blast Technician,Processing,Full-time,2021-03-13
325,2,Clifford,Gomez,Shift Supervisor,Mining Operations,Full-time,2024-01-30
326,2,Mark,Bright,Geologist,Engineering,Full-time,2017-07-17
327,2,Sergio,Dixon,Drill & Blast Technician,Processing,Contractor,2019-02-11
328,2,Charles,Johnson,Processing Plant Operator,Safety & Environment,Full-time,2020-08-31
329,2,Sherri,Finley,Surface Operator,Safety & Environment,FIFO,2025-02-25
330,2,Justin,Soto,Drill & Blast Technician,Safety & Environment,FIFO,2017-05-25
331,2,Michael,Lambert,Maintenance Technician,Drill & Blast,Contractor,2023-04-10
332,2,Caitlin,Williams,Safety Officer,Engineering,Full-time,2023-07-26
333,2,Anthony,Hernandez,Shift Supervisor,Maintenance,Full-time,2018-04-07
334,2,Nancy,Wilkins,Drill & Blast Technician,Safety & Environment,Full-time,2017-06-08
335,2,Kathryn,Benson,Geologist,Drill & Blast,Contractor,2024-05-05
336,2,Billy,Bailey,Drill & Blast Technician,Engineering,Full-time,2022-08-17
337,2,James,Mcbride,Safety Officer,Processing,FIFO,2021-12-20
338,2,Laura,Cortez,Processing Plant Operator,Processing,FIFO,2023-11-20
339,2,Jeremiah,Garcia,Maintenance Technician,Logistics,Full-time,2020-03-02
340,2,Laura,Johnson,Geologist,Drill & Blast,FIFO,2018-10-11
341,2,Frank,Barnes,Shift Supervisor,Engineering,Full-time,2016-06-09
342,2,Yvonne,Montgomery,Processing Plant Operator,Safety & Environment,Full-time,2024-07-06
343,2,Laurie,Ellis,Processing Plant Operator,Engineering,Contractor,2016-12-23
344,2,Kathy,Morris,Shift Supervisor,Processing,FIFO,2024-12-16
345,2,Melissa,Carpenter,Haul Truck Operator,Drill & Blast,Full-time,2021-08-21
346,2,Luis,Osborne,Safety Officer,Mining Operations,Full-time,2022-08-09
347,2,Barry,Jensen,Shift Supervisor,Logistics,FIFO,2019-01-21
348,2,Chelsea,Williams,Safety Officer,Safety & Environment,FIFO,2017-05-30
349,2,James,Stanley,Drill & Blast Technician,Safety & Environment,FIFO,2018-01-12
